image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,128_927,71.395723,-19.717108,5.159503,-0.023438,-0.002649,0.235716,0.971536,597,61,8.699
1,134_527,67.771191,-13.487167,5.177844,-0.019752,-0.010233,0.333714,0.942412,819,448,4.428
2,267_926,65.744020,-58.728434,5.165363,0.022848,-0.008721,0.353397,-0.935154,144,112,7.494
3,271_126,68.264980,-55.612826,5.181415,0.022452,-0.007626,0.298323,-0.954170,79,269,5.157
4,292_426,38.240599,-40.342394,4.637347,0.032310,-0.171386,0.008154,-0.984640,36,167,12.434
