image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,58_535,33.649105,-9.121937,6.063037,0.042615,0.052107,0.094561,0.993241,526,327,5.804
1,61_236,34.590767,-10.876348,6.197589,-0.016293,-0.011486,0.093204,0.995447,392,155,5.008
2,64_36,34.274170,-10.172653,6.213214,0.005372,0.007973,0.094166,0.995510,436,243,5.068
3,66_635,34.265850,-10.226269,6.218311,-0.002167,0.001676,0.094220,0.995548,431,227,5.064
4,68_936,34.357766,-10.271645,6.215625,-0.003926,-0.000381,0.093840,0.995580,419,222,5.087
5,71_135,34.389565,-10.317585,6.236621,-0.007680,-0.001134,0.093357,0.995602,418,211,5.112
6,73_935,35.351389,-10.009663,6.205676,-0.027052,-0.001545,0.866330,0.498737,496,144,4.987
7,76_935,34.686346,-9.178043,6.182330,-0.002112,-0.004286,0.996373,0.084960,440,159,4.964
8,79_636,33.873303,-9.165354,6.193408,-0.003433,-0.005063,0.956340,-0.292194,434,158,5.014
9,82_336,33.359546,-9.711708,6.214343,-0.002679,-0.007753,0.777725,-0.628551,436,154,5.061
10,86_336,33.619292,-10.842772,6.228198,0.001623,-0.001592,0.335819,-0.941924,418,152,5.109
11,89_336,34.421755,-11.253162,6.218036,0.006891,-0.003463,-0.087122,-0.996168,422,134,5.085
12,91_735,35.060707,-11.051432,6.226550,0.006479,-0.003595,-0.416349,-0.909174,448,131,5.102
13,94_735,37.101242,-10.543217,6.129688,-0.018251,-0.306364,0.386909,-0.869545,513,293,6.113
14,101_635,81.944157,-28.785753,6.192035,-0.011471,0.011283,0.603735,-0.797023,390,318,4.905
15,104_636,80.520046,-28.308611,6.168750,-0.001325,-0.005077,0.603415,-0.797410,459,218,4.917
16,107_435,81.054680,-28.488237,6.188251,-0.006761,0.006598,0.604117,-0.796839,420,271,4.944
17,109_736,81.029224,-28.512684,6.194049,-0.003500,0.003278,0.604063,-0.796922,418,262,5.004
18,112_635,80.882786,-28.537022,6.227832,0.001648,0.000067,0.604253,-0.796791,418,238,5.113
19,115_536,80.937504,-28.488756,6.246173,0.030790,-0.062388,0.195944,-0.978144,473,222,5.102
20,119_136,81.703415,-27.786930,6.212817,0.010940,0.004387,-0.958760,-0.283971,447,150,5.079
21,123_236,80.438847,-27.579885,6.241016,0.003539,0.004318,-0.951885,0.306406,434,154,5.165
22,126_836,79.841991,-28.408263,6.238422,0.000689,0.004122,-0.681719,0.731602,437,151,5.182
23,130_35,80.024235,-29.282638,6.253558,-0.006423,0.004838,-0.341899,0.939702,440,135,5.200
24,133_135,80.813171,-29.670392,6.242664,-0.008272,0.008010,0.112273,0.993611,463,141,5.165
25,135_736,81.447475,-29.364623,6.214648,-0.006946,0.009273,0.467302,0.884022,477,164,5.067
26,142_135,84.737389,-3.095497,6.198962,0.125780,0.036881,-0.419971,0.898022,629,435,4.484
27,144_136,84.463364,-5.377163,6.168445,-0.042807,-0.016078,-0.434601,0.899461,340,162,4.819
28,146_135,84.401039,-5.412144,6.163806,-0.004105,-0.000696,-0.436704,0.899596,387,201,4.908
29,148_436,84.459919,-4.901134,6.185748,0.005486,0.002680,-0.436492,0.899687,430,242,4.942
30,150_436,84.448029,-4.876236,6.180408,0.001046,0.001110,-0.436319,0.899791,429,238,4.898
31,152_235,84.444340,-4.881718,6.164783,0.002567,0.000240,-0.436135,0.899878,430,241,4.849
32,154_135,84.439991,-4.892372,6.158649,0.000936,0.001480,-0.436450,0.899727,430,234,4.829
33,156_136,84.402748,-4.918072,6.168536,-0.025135,0.071986,-0.264964,0.961239,501,193,4.793
34,158_135,85.291214,-4.676777,6.185870,-0.023700,-0.001465,0.891398,0.452599,470,175,4.918
35,160_135,84.977077,-4.135838,6.191608,-0.009597,-0.001466,0.991472,0.129955,442,172,4.985
36,162_36,84.239388,-3.906788,6.209949,-0.003954,-0.007175,0.982986,-0.183499,422,150,5.036
37,163_835,83.723053,-4.167580,6.214313,-0.005131,-0.006247,0.875646,-0.482886,436,148,5.061
38,165_936,83.382061,-4.821060,6.224719,-0.001055,-0.009455,0.651210,-0.758838,442,138,5.088
