image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,235_609,1.376096,6.785063,3.823639,0.022178,0.068072,-0.781316,0.620016,751,215,4.300
1,237_909,3.463544,9.228199,4.771942,-0.003243,0.037227,-0.844237,0.534666,809,317,5.016
2,241_409,6.226624,7.576624,4.966705,0.007358,0.014800,-0.909304,0.415804,277,441,4.424
3,243_9,7.109501,7.078773,4.993866,0.001335,0.024488,-0.933922,0.356635,574,291,5.554
4,244_509,7.830881,6.207540,4.996826,-0.003738,0.017268,-0.953208,0.301798,560,367,4.927
5,247_910,9.208767,4.028480,4.989502,-0.000948,0.021030,-0.984840,0.172182,335,221,6.500
6,250_509,9.744503,2.065212,4.997528,-0.002309,0.020320,-0.997401,0.069081,231,369,4.917
7,256_509,9.550943,-2.668468,4.966278,-0.002141,0.015477,-0.985942,-0.166358,494,231,6.164
8,258_310,9.078488,-4.036444,4.958984,0.000294,0.015955,-0.971695,-0.235699,473,307,5.293
