image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,45_90,34.490553,-9.041807,5.936145,0.201145,-0.019616,0.083080,0.975835,445,404,5.601
1,47_191,34.261738,-10.425869,6.158527,-0.035363,0.011426,0.092623,0.995008,452,142,4.891
2,48_991,34.679906,-10.904461,6.169360,-0.015040,-0.013907,0.093530,0.995406,386,146,4.858
3,51_291,34.656417,-10.130423,6.168597,0.013052,-0.008500,0.092975,0.995547,378,249,4.883
4,53_190,34.555927,-9.998781,6.162494,0.008325,-0.007513,0.093153,0.995589,391,256,4.870
5,55_291,34.355378,-10.102516,6.174335,0.003058,-0.000166,0.093467,0.995618,418,247,4.887
6,57_90,34.416495,-10.092840,6.202594,0.009182,0.042462,0.762093,0.646009,444,264,4.918
7,59_90,35.129435,-9.648911,6.170978,-0.019859,-0.003313,0.939622,0.341621,472,157,4.850
8,60_991,34.624788,-9.153749,6.176074,-0.005036,-0.005262,0.999967,0.003508,452,158,4.909
9,62_790,34.001776,-9.150270,6.184283,-0.006805,-0.005432,0.949297,-0.314261,456,158,4.923
10,64_890,33.442206,-9.512897,6.189197,-0.006223,-0.011232,0.774879,-0.631979,467,154,4.938
11,66_590,33.284684,-10.108765,6.202655,-0.003689,-0.011375,0.530929,-0.847332,476,158,4.981
12,68_990,33.595022,-10.914957,6.200580,0.003608,-0.014265,0.109270,-0.993903,488,155,4.944
13,70_890,34.318037,-11.069019,6.192950,0.004150,-0.011943,-0.266527,-0.963745,484,169,4.923
14,72_890,34.996392,-10.738340,6.175891,0.006979,-0.006393,-0.573913,-0.818862,468,169,4.855
15,74_691,38.081054,-10.849468,6.163745,0.055047,-0.364812,0.536747,-0.758805,494,270,6.444
16,79_291,79.722637,-28.121872,6.047046,-0.062874,0.214148,0.604378,-0.764797,259,435,4.297
17,81_191,82.150742,-29.016956,6.202380,-0.013444,0.041185,0.604060,-0.795761,343,336,4.887
18,83_190,80.292583,-28.262605,6.161792,0.008007,-0.034816,0.603201,-0.796789,491,161,4.871
19,84_991,80.645939,-28.329659,6.186755,-0.004276,0.001843,0.603108,-0.797646,448,233,4.960
20,87_290,80.923370,-28.519578,6.200488,-0.001219,0.005833,0.603876,-0.797056,417,247,4.988
21,89_490,80.856068,-28.508438,6.199359,0.000770,0.000612,0.603528,-0.797341,425,239,4.975
22,91_690,81.361515,-28.386969,6.219531,0.015574,-0.013659,-0.796006,-0.604934,440,197,4.982
23,93_790,81.729034,-27.779231,6.181750,0.018451,0.005871,-0.966109,-0.257407,466,141,4.890
24,95_790,80.963974,-27.477658,6.177722,0.006566,0.004732,-0.995243,0.097087,444,151,4.906
25,97_590,80.322418,-27.679955,6.182422,0.004081,0.006831,-0.905722,0.423798,450,152,4.899
26,99_491,79.941807,-28.256647,6.183856,0.002905,0.006528,-0.721945,0.691914,440,154,4.898
27,101_691,79.998055,-29.056082,6.184528,-0.002083,0.006665,-0.413778,0.910351,439,142,4.917
28,103_791,80.523380,-29.543905,6.188678,-0.004938,0.004584,-0.084416,0.996408,443,140,4.925
29,106_291,81.377327,-29.473838,6.194568,-0.006292,0.001812,0.332233,0.943175,447,148,4.979
30,108_90,81.762188,-29.104615,6.219623,-0.009578,0.007480,0.609875,0.792405,468,153,5.045
31,109_990,82.356148,-22.618019,6.237384,-0.292165,-0.058936,-0.327992,0.896431,462,364,8.952
32,112_491,84.498413,-3.930424,6.142810,0.189098,0.060037,-0.404342,0.892830,683,459,4.170
33,114_490,84.410419,-4.546646,6.212817,-0.019011,-0.005729,-0.436033,0.899711,418,214,4.985
34,116_790,84.311260,-5.532856,6.194446,-0.013022,-0.005134,-0.435897,0.899888,385,180,4.997
35,118_890,84.356857,-4.976540,6.210010,0.005806,0.002530,-0.436121,0.899866,431,227,5.047
36,120_890,84.393871,-4.905499,6.218463,0.001903,0.000940,-0.435419,0.900225,431,229,5.048
37,122_790,84.434090,-4.904152,6.213611,0.001126,-0.002522,-0.435980,0.899952,428,240,5.067
38,124_991,84.487579,-4.873928,6.227832,0.003365,-0.000544,-0.436354,0.899769,427,244,5.110
39,126_990,84.799194,-4.938549,6.249194,-0.003848,0.026900,0.677474,0.735045,451,234,5.146
40,129_90,85.465355,-4.406876,6.226123,-0.023535,-0.005104,0.941814,0.335270,480,150,5.069
41,131_90,84.787052,-3.917286,6.212756,-0.003902,-0.007534,0.999931,0.008182,440,155,5.024
42,133_91,84.091969,-4.010906,6.199695,-0.007709,-0.005177,0.940891,-0.338583,448,163,4.986
43,134_890,83.626266,-4.424351,6.188281,-0.005239,-0.007771,0.791762,-0.610758,446,156,4.949
44,136_991,83.459671,-5.170010,6.191425,0.001471,-0.008645,0.510929,-0.859578,450,141,4.960
45,138_990,83.832874,-5.798222,6.193622,0.002852,-0.008044,0.187929,-0.982146,457,137,4.964
46,140_990,84.528477,-6.078114,6.189380,0.009103,-0.005968,-0.147986,-0.988929,465,129,4.912
47,143_91,85.104359,-5.795719,6.179187,0.007626,-0.006282,-0.481601,-0.876335,481,155,4.900
48,145_790,85.720211,-8.414648,6.231860,-0.323236,-0.182868,0.549061,-0.748739,416,347,6.500
49,149_991,84.400585,-40.729316,6.108386,0.121823,0.102023,0.682711,-0.713201,59,177,4.011
50,151_790,84.428165,-38.740726,6.130634,-0.024806,-0.027892,0.695948,-0.717122,476,221,4.738
51,154_90,84.528778,-38.343904,6.151263,-0.004178,-0.005400,0.696551,-0.717475,467,233,4.859
52,156_291,84.485085,-38.825896,6.181903,0.004043,0.002778,0.697628,-0.716444,415,222,4.920
53,158_391,84.458332,-38.886245,6.198993,0.005575,0.000323,0.697264,-0.716793,412,217,4.975
54,160_291,84.485783,-38.869197,6.204822,0.002022,0.001347,0.697422,-0.716656,414,225,5.001
55,162_491,84.521904,-38.848306,6.214618,0.000850,0.000453,0.698030,-0.716068,418,231,5.033
56,164_690,85.442917,-38.579949,6.208942,0.025242,0.001025,-0.877853,-0.478264,466,162,4.970
57,166_690,85.212219,-38.017813,6.205493,0.010177,0.002468,-0.985712,-0.168113,448,160,5.024
58,169_90,84.411903,-37.853068,6.214679,0.006269,0.002558,-0.981811,0.189741,435,162,5.041
59,171_90,83.928219,-38.135418,6.215411,0.003461,0.004203,-0.870028,0.492972,439,160,5.027
60,172_991,83.671013,-38.621579,6.203296,0.002988,0.005003,-0.685076,0.728449,446,159,4.999
61,175_691,83.854839,-39.428751,6.188525,-0.002579,0.005240,-0.320675,0.947171,445,155,4.923
62,177_891,84.401413,-39.878252,6.165393,-0.005804,0.006207,0.002054,0.999962,447,145,4.830
63,180_90,85.036224,-39.843211,6.152209,-0.009810,0.006932,0.345708,0.938265,465,141,4.772
64,182_190,85.492577,-39.321841,6.152026,-0.009196,0.005052,0.639421,0.768785,465,155,4.784
65,186_990,97.436508,-51.147867,6.166064,-0.009819,0.045189,0.771514,-0.634529,374,339,4.805
66,188_690,96.324471,-50.092062,6.170520,0.005092,-0.030216,0.769422,-0.638005,479,164,4.813
67,191_390,96.595295,-50.362311,6.179126,-0.003632,0.007274,0.769282,-0.638857,432,240,4.895
68,193_590,96.680359,-50.450033,6.172168,-0.002587,0.003145,0.769283,-0.638896,431,242,4.851
69,195_390,96.650166,-50.474442,6.171283,-0.000222,0.000488,0.769113,-0.639112,425,236,4.872
70,197_491,96.641140,-50.524082,6.182513,-0.000145,0.002299,0.768848,-0.639428,420,240,4.902
71,199_590,96.648487,-50.512355,6.184680,-0.000847,0.000381,0.768864,-0.639411,421,239,4.884
72,201_791,96.769012,-50.514974,6.192828,0.030376,0.025784,0.984847,0.168787,421,272,4.866
73,203_691,97.620937,-50.129333,6.160205,-0.027539,-0.003631,0.917374,0.397055,475,144,4.768
74,205_891,97.017605,-49.582142,6.164325,-0.003683,-0.004186,0.998299,0.058043,438,156,4.834
75,208_291,96.170395,-49.687530,6.176715,-0.000528,-0.003337,0.948374,-0.317136,420,155,4.873
76,210_291,95.792168,-50.041865,6.181415,-0.005856,-0.004672,0.806881,-0.590666,440,149,4.894
77,212_191,95.622826,-50.560547,6.190662,-0.003195,-0.010396,0.575621,-0.817644,461,144,4.923
78,214_291,95.868290,-51.211791,6.200092,0.002063,-0.009879,0.250016,-0.968189,467,143,4.957
