image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,117_945,19.945694,-47.955240,10.224109,-0.048664,-0.000475,-0.000525,0.998815,696,272,10.246
1,135_646,30.537336,-10.046900,10.172229,0.001752,-0.082307,0.000108,0.996606,510,250,9.396
2,137_845,30.302588,-12.992258,10.212390,0.117179,0.005408,0.001002,0.993096,617,193,9.460
3,148_945,29.962576,-48.084785,10.148822,0.064144,0.002386,0.000259,0.997938,241,339,9.628
4,166_945,39.934542,-36.352011,10.220752,-0.049519,0.001605,-0.000544,0.998772,357,128,9.226
5,175_945,40.058303,-10.103056,10.148608,0.069486,-0.001994,-0.000396,0.997581,132,328,8.668
6,178_245,42.358816,-9.771006,10.165118,-0.004532,0.117461,-0.000066,0.993067,171,251,10.452
7,180_546,49.741889,-10.097712,10.122852,-0.004215,-0.082583,-0.000708,0.996575,751,114,10.062
8,182_845,50.553996,-11.765450,10.183795,0.119812,-0.002868,-0.001100,0.992792,815,136,9.994
9,187_446,50.027672,-26.480016,10.184436,0.052466,-0.000951,-0.000263,0.998622,160,329,8.964
10,222_345,60.111736,-11.590628,10.232104,0.021275,-0.002861,0.000520,0.999769,395,94,9.302
11,224_845,61.080620,-9.429440,10.233081,0.015422,0.117637,0.003913,0.992929,453,155,9.223
12,256_645,79.890320,-50.918553,10.195758,-0.049603,0.003329,0.000305,0.998763,169,122,9.140
13,261_45,80.106663,-37.852071,10.207721,-0.059033,-0.000692,0.000312,0.998256,638,258,9.122
14,263_645,80.049656,-30.284886,10.202045,-0.054935,-0.000772,0.000106,0.998490,467,128,8.812
15,265_846,79.992485,-23.680494,10.190845,-0.050443,0.001636,0.000014,0.998726,472,440,9.450
16,270_345,80.051834,-10.633619,10.204517,0.056772,-0.000977,0.000079,0.998387,625,56,9.583
17,272_545,81.329849,-9.523891,10.225848,0.008884,0.118431,0.002845,0.992918,711,25,8.345
18,277_445,90.616001,-10.825375,10.206714,0.122113,-0.014669,-0.001540,0.992407,154,81,10.038
19,282_246,90.059254,-25.292968,10.197223,0.053308,-0.001104,-0.000285,0.998577,11,419,9.512
20,284_545,90.135689,-32.000795,10.198718,0.049506,-0.003829,-0.000746,0.998766,20,97,9.862
21,286_746,90.138096,-38.369252,10.197986,0.059918,-0.002472,-0.000410,0.998200,153,291,8.917
22,289_445,90.013130,-46.193868,10.197681,0.045371,0.000811,-0.000981,0.998969,759,461,8.860
23,291_745,89.943886,-52.604806,10.225024,0.052548,0.002714,-0.000051,0.998615,741,159,9.323
24,304_245,99.866989,-51.666567,10.189624,-0.036498,0.006042,-0.000313,0.999315,279,183,8.971
25,306_745,100.036804,-44.892647,10.203662,-0.055456,-0.001369,0.000035,0.998460,274,456,9.800
26,356_45,119.924675,-47.966818,10.189075,-0.035457,0.000857,-0.000618,0.999371,541,174,8.912
27,358_345,120.023666,-41.566416,10.202655,-0.049717,0.000880,0.000172,0.998763,528,450,9.477
28,390_646,129.912590,-47.994721,10.214404,0.051373,0.001528,0.000549,0.998678,67,197,9.170
29,510_245,180.066620,-45.342360,10.218646,-0.046275,-0.000433,0.000820,0.998928,573,76,8.829
30,512_946,180.033371,-38.322427,10.221454,-0.049685,-0.000723,-0.000325,0.998765,567,405,9.473
31,542_645,189.891724,-43.970296,10.200000,0.042489,0.002143,-0.000250,0.999095,88,167,9.152
32,592_768,30.863379,-41.622385,10.231921,-0.185216,-0.209747,-0.738745,-0.613153,193,108,11.315
