image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,114_112,20.037754,-52.171315,10.208423,-0.033822,-0.001847,-0.000085,0.999426,690,88,9.916
1,135_612,28.498098,-10.130009,10.177173,-0.003737,-0.026649,-0.000498,0.999638,658,234,9.236
2,138_512,30.376642,-11.641214,10.197650,0.098906,0.002008,-0.000298,0.995095,608,264,9.035
3,151_613,29.982129,-45.756619,10.176929,0.042847,0.002264,0.000966,0.999079,239,435,9.592
4,153_912,30.029142,-52.438366,10.192859,0.045987,0.001595,0.000368,0.998941,247,161,10.187
5,175_412,40.024905,-32.428504,10.162280,-0.043880,-0.000138,-0.000222,0.999037,355,315,9.297
6,182_412,40.136712,-14.550600,10.168964,-0.058828,-0.003980,-0.000286,0.998260,113,12,8.834
7,185_213,40.471308,-9.183685,10.188770,0.044269,0.125364,0.008171,0.991089,261,331,9.935
8,188_612,49.243451,-10.017324,10.159290,-0.003918,-0.064786,0.000168,0.997891,789,119,10.053
9,191_612,50.089923,-13.048403,10.173785,0.096672,0.013420,0.001823,0.995224,836,60,10.395
10,222_312,60.065971,-9.536978,10.218799,0.082204,-0.002281,-0.000342,0.996613,400,228,9.269
11,224_12,62.080236,-9.502184,10.244708,0.004918,0.146677,0.002981,0.989168,431,146,9.458
12,250_312,79.889275,-45.740096,10.208606,-0.045942,0.002232,-0.000315,0.998942,182,360,9.564
13,253_712,79.931030,-37.277811,10.205676,-0.041572,0.003343,0.000664,0.999130,652,294,9.131
14,256_713,80.021400,-29.861727,10.209766,-0.042839,-0.000622,-0.000403,0.999082,468,153,8.922
15,266_413,80.148312,-9.451633,10.198291,0.027116,0.090982,0.002664,0.995480,741,34,8.278
16,269_913,88.082508,-9.943806,10.196948,-0.000496,0.017062,0.000349,0.999854,249,20,9.247
17,272_812,90.431332,-10.775360,10.209827,0.102484,-0.006227,-0.000772,0.994715,167,62,9.899
18,278_912,90.098824,-25.993623,10.193286,0.042400,-0.002360,0.000308,0.999098,9,382,9.573
19,282_912,90.075996,-35.560450,10.209552,0.040005,0.000372,0.000081,0.999199,156,421,8.811
20,286_112,90.153507,-43.135165,10.208484,0.043226,-0.003200,-0.000315,0.999060,166,65,9.365
21,289_13,90.006741,-50.186030,10.205310,0.042360,0.002471,-0.000013,0.999099,748,283,9.001
22,305_712,99.980175,-47.225596,10.200214,-0.039365,0.002295,-0.000165,0.999222,276,384,9.266
23,368_712,130.050499,-48.841277,10.207782,0.055695,0.000751,-0.000067,0.998448,62,161,9.285
24,454_512,180.168671,-43.178261,10.223132,-0.051874,-0.002891,0.000314,0.998649,561,179,9.059
25,456_512,180.134995,-36.675914,10.236285,-0.053801,-0.000555,0.000011,0.998552,553,456,9.744
26,479_912,189.907593,-39.456271,10.200549,0.060086,0.004303,0.000725,0.998184,79,416,8.715
