image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
47,172_588,95.867130,-49.685741,6.206134,-0.004615,-0.010362,0.867631,-0.497079,454,135,4.970
48,174_987,95.562935,-50.427209,6.207538,-0.001961,-0.007880,0.612095,-0.790743,462,142,5.017
49,176_987,95.769562,-51.044678,6.211169,0.000772,-0.009881,0.324289,-0.945906,471,154,5.022
50,179_87,96.371258,-51.424764,6.213733,0.003317,-0.006567,-0.021288,-0.999746,464,161,5.022
51,180_887,96.979206,-51.372320,6.204120,0.003904,-0.005540,-0.327591,-0.944795,461,171,4.996
52,183_88,97.455589,-50.889661,6.201770,0.005425,-0.002153,-0.637112,-0.770749,445,179,4.966
53,189_787,122.025185,-46.563308,6.136859,0.060921,-0.039021,0.754473,-0.652332,375,90,4.482
54,191_788,122.483017,-46.528251,6.144702,-0.019395,0.006636,0.882089,0.470636,441,212,4.796
55,193_887,122.573959,-45.969484,6.154803,-0.013611,-0.001348,0.991310,0.130831,431,174,4.831
56,195_887,121.763786,-45.777977,6.169879,-0.001689,-0.005070,0.979399,-0.201866,401,140,4.859
57,197_687,121.255409,-46.046710,6.177264,-0.002699,-0.004898,0.874209,-0.485519,416,129,4.884
58,199_588,121.039421,-46.663108,6.183978,-0.001027,-0.005616,0.670489,-0.741897,430,121,4.901
59,201_487,121.174385,-47.232981,6.183551,0.000395,-0.008443,0.401032,-0.916025,462,131,4.864
60,203_687,121.796204,-47.692769,6.172412,0.004611,-0.005584,0.045925,-0.998919,463,143,4.863
61,206_187,122.503090,-47.678748,6.181018,0.005725,-0.003663,-0.279895,-0.960007,457,159,4.894
62,208_687,123.083862,-47.111694,6.174030,0.007317,-0.002056,-0.627447,-0.778622,449,161,4.856
