image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,62_287,34.691454,-12.527475,5.724536,0.202742,-0.002807,0.095072,0.974602,380,377,4.200
1,64_188,33.678140,-8.910023,6.005450,0.055497,0.042605,0.094901,0.993025,517,386,4.596
2,66_87,34.909644,-10.843939,6.136646,-0.051200,0.039129,0.838556,0.540991,591,213,4.696
3,67_787,35.433711,-9.921539,6.155200,-0.025835,-0.007022,0.961698,0.272799,520,163,4.849
4,69_987,34.335532,-9.174786,6.185382,0.001606,-0.008656,0.992633,-0.120836,439,163,4.938
5,71_987,33.701125,-9.353369,6.186237,-0.007039,-0.007139,0.885256,-0.464996,453,162,4.932
6,73_787,33.343737,-9.795036,6.189288,-0.004229,-0.010345,0.696045,-0.717911,456,158,4.959
7,75_987,33.335743,-10.512648,6.203937,0.000974,-0.013221,0.392666,-0.919586,468,147,4.967
8,77_788,33.695289,-10.993465,6.197040,0.003672,-0.014453,0.078623,-0.996793,482,150,4.931
9,79_687,34.396554,-11.086683,6.190112,0.005895,-0.009777,-0.257324,-0.966258,474,163,4.911
10,81_487,34.994499,-10.753035,6.169513,0.007488,-0.006082,-0.542597,-0.839938,464,164,4.860
11,83_187,36.880015,-10.513159,6.022144,-0.027165,-0.248863,0.324362,-0.912206,503,300,5.465
12,90_888,81.744125,-27.930379,6.199298,-0.022507,0.004911,-0.927192,-0.373877,378,174,4.994
13,92_788,80.796318,-27.182402,6.198016,-0.003602,0.013425,-0.998936,-0.043975,390,109,4.996
14,94_688,80.554447,-27.350385,6.212939,0.013357,0.005272,-0.956973,0.289821,465,139,5.039
15,96_487,80.075859,-27.816920,6.216602,0.005705,0.005982,-0.822154,0.569205,471,146,5.023
16,98_287,79.873344,-28.454105,6.204333,0.003232,0.010389,-0.583056,0.812359,474,156,4.989
17,100_188,80.119221,-29.152650,6.198779,-0.001681,0.007797,-0.279211,0.960197,465,153,4.958
18,102_388,80.720531,-29.523413,6.181354,-0.006133,0.005417,0.075253,0.997131,463,155,4.908
19,104_387,81.332733,-29.344527,6.177448,-0.004509,0.005895,0.398515,0.917132,464,168,4.902
20,106_188,81.713905,-28.856113,6.175647,-0.006237,0.004213,0.668903,0.743312,457,174,4.845
21,110_687,84.482716,-3.049698,6.145679,0.156072,0.049729,-0.412667,0.896032,693,449,4.245
22,113_88,84.546318,-5.226372,6.202899,-0.021511,0.060170,0.469171,0.880793,525,249,4.868
23,115_87,85.364742,-4.750633,6.195331,-0.020715,-0.004157,0.916726,0.398956,477,174,4.989
24,117_388,84.839314,-3.931225,6.221393,-0.006989,-0.008407,0.999385,0.033314,441,153,5.057
25,119_487,84.137295,-4.043224,6.224445,-0.007366,-0.001340,0.952000,-0.306007,438,167,5.082
26,121_587,83.561131,-4.465092,6.212329,-0.004936,-0.009712,0.790310,-0.612611,442,147,5.038
27,123_487,83.349892,-5.132198,6.205951,0.003184,-0.009851,0.554479,-0.832133,444,127,5.021
28,125_587,83.679878,-5.741016,6.217670,0.001085,-0.008097,0.243525,-0.969860,464,136,5.059
29,127_587,84.301971,-5.989727,6.225574,0.003913,-0.005835,-0.078451,-0.996893,467,147,5.093
30,129_788,84.998226,-5.825569,6.221515,0.007728,-0.006751,-0.426448,-0.904454,474,158,5.074
31,131_688,85.429470,-5.255238,6.193561,-0.259289,0.054753,-0.625349,-0.733969,247,319,5.311
32,136_887,84.498276,-40.595822,6.189471,0.115830,0.103685,0.683867,-0.712853,68,201,4.302
33,140_187,85.308765,-37.907741,6.166919,-0.004710,0.028750,-0.823978,-0.565873,355,121,4.923
34,143_87,85.225571,-37.739487,6.175159,0.007677,0.001897,-0.984723,-0.173951,438,129,4.968
35,145_487,84.409565,-37.614963,6.190387,0.006736,0.009222,-0.981907,0.189020,455,124,4.965
36,147_488,83.753563,-38.003730,6.191486,0.002918,0.009508,-0.864727,0.502144,455,129,4.951
37,149_687,83.380676,-38.746365,6.176990,0.000670,0.011712,-0.631696,0.775128,465,123,4.878
38,151_687,83.630283,-39.393068,6.169604,-0.001904,0.007456,-0.338741,0.940848,471,143,4.892
39,153_887,84.319752,-39.774565,6.180774,-0.002435,0.007318,0.020581,0.999758,469,161,4.890
40,156_88,85.065838,-39.672455,6.163165,-0.004766,0.006380,0.374159,0.927331,456,166,4.807
41,158_88,85.565136,-39.171014,6.149921,-0.009596,0.000933,0.657226,0.753631,446,153,4.773
42,162_187,97.595383,-51.455898,6.130298,-0.008039,0.105854,0.771247,-0.627621,272,422,4.430
43,164_387,96.263214,-50.269169,6.155139,0.014835,-0.034646,0.771572,-0.635024,436,120,4.719
44,166_288,97.163906,-50.081035,6.184528,-0.019879,-0.000878,0.868859,0.494660,428,178,4.900
45,168_588,97.179680,-49.634252,6.180743,-0.010579,-0.001657,0.990736,0.135378,445,158,4.942
46,170_687,96.426640,-49.436223,6.201160,-0.005503,-0.006896,0.979485,-0.201324,437,141,4.993
